postDistrict,roadCode,houseNumber,name,FID,wkb_geometry,long,lat,address,postcode,parkingSpace,owner,parkingType,information
1304 København K,24,5,Adelgade 5 p_hus.0,p_hus.0,POINT (12.582287325059744 55.68268042120522),12.58228733,55.68268042,Adelgade 5,1304,92,Privat,P-Kælder,"Adelgade 5-7, Q-park."
1550 København V,148,18,H.C. Andersens Boulevard 18 p_hus.1,p_hus.1,POINT (12.568390493094558 55.6750773715323),12.56839049,55.67507737,H.C. Andersens Boulevard 18,1550,137,Privat,P-Kælder,"H.C. Andersens Boulevard, Industriens Hus"
1064 København K,264,1,Asylgade 1 p_hus.2,p_hus.2,POINT (12.584113225182094 55.67847304803938),12.58411323,55.67847305,Asylgade 1,1064,105,Privat,P-Hus,"Asylgade 1, Danske Bank."
2300 København S,472,19,Bergthorasgade 19 p_hus.3,p_hus.3,POINT (12.579836928457068 55.66454928142982),12.57983693,55.66454928,Bergthorasgade 19,2300,408,Kommune,Underjordisk P-anlæg,"Underjordisk P-anlæg, ibrugtaget februar 2011 og drevet af Center for Parkering."
2200 København N,628,57,Blågårdsgade 57 p_hus.4,p_hus.4,POINT (12.555695074664309 55.68417438048765),12.55569507,55.68417438,Blågårdsgade 57,2200,215,Kommune,P-Hus,"Det Grønne P-hus, ibrugtaget januar 2010 og drevet af Center for Parkering."
1069 København K,832,6,Bremerholm 6 p_hus.5,p_hus.5,POINT (12.583088623374682 55.67886909161786),12.58308862,55.67886909,Bremerholm 6,1069,214,Privat,P-Hus,"Magasin, Bremerholm"
2400 København NV,984,11,Bygmestervej 11 p_hus.6,p_hus.6,POINT (12.53638818652269 55.70522755910492),12.53638819,55.70522756,Bygmestervej 11,2400,180,Privat,P-Kælder,"P-huset tilbyder cykelparkering, for dem der parkerer bil i anlægget og ønsker at transportere sig videre på cykel"
1302 København K,1356,4,Dronningens Tværgade 4 p_hus.7,p_hus.7,POINT (12.588435643558675 55.68330403523282),12.58843564,55.68330404,Dronningens Tværgade 4,1302,320,Privat,P-Hus,"Jeudan Parkering, Dronningens Tværgade"
1117 København K,2104,3/1/2015,Gammel Mønt p_hus.8,p_hus.8,POINT (12.58162337622236 55.68075912424795),12.58162338,55.68075912,Gammel Mønt,1117,300,Privat,P-Hus,"Jeudan Parkering, Gammel Mønt"
1705 København V,3272,,Ingerslevsgade p_hus.9,p_hus.9,POINT (12.563434375186208 55.668893325597395),12.56343438,55.66889333,Ingerslevsgade,1705,192,Privat,P-Hus,DGI-byen indkørsel fra Ingerslevsgade
1361 København K,3310,1,Israels Plads 1 p_hus.10,p_hus.10,POINT (12.568404237139843 55.68251121101974),12.56840424,55.68251121,Israels Plads 1,1361,1150,Privat,P-Kælder,"Israels Plads, Q-park Indkørsel fra Linnésgade"
1301 København K,4112,10,Landgreven 10 p_hus.11,p_hus.11,POINT (12.58574292261366 55.68308805017006),12.58574292,55.68308805,Landgreven 10,1301,121,Privat,P-Hus,"Landgreven, Europark"
1602 København V,5128,36,Nyropsgade 36 p_hus.12,p_hus.12,POINT (12.560670163895672 55.676721900132314),12.56067016,55.6767219,Nyropsgade 36,1602,365,Privat,P-Kælder,Indkøsel ved Nyropsgade 36
2200 København N,5188,2D,Nørre Allé 2D p_hus.13,p_hus.13,POINT (12.561251427921016 55.69219515016364),12.56125143,55.69219515,Nørre Allé 2D,2200,164,Kommune,Underjordisk P-anlæg,"Underjordisk P-anlæg, ibrugtaget juni 2010 og drevet af Center for Parkering."
1759 København V,5792,8B,Rejsbygade 8B p_hus.14,p_hus.14,POINT (12.543254363515572 55.66897769124984),12.54325436,55.66897769,Rejsbygade 8B,1759,77,Kommune,P-Hus,Ibrugtaget februar 2008 og drevet af Center for Parkering.
2200 København N,6040,22,Ryesgade 22 p_hus.15,p_hus.15,POINT (12.567176379844057 55.69176488573952),12.56717638,55.69176489,Ryesgade 22,2200,56,Kommune,P-Hus,Sølund
2200 København N,6040,16,Ryesgade 16 p_hus.16,p_hus.16,POINT (12.565611062343194 55.69057204953302),12.56561106,55.69057205,Ryesgade 16,2200,25,Kommune,P-Hus,Sølund
1113 København K,6392,4,Silkegade 4 p_hus.17,p_hus.17,POINT (12.579741748315502 55.67985691403492),12.57974175,55.67985691,Silkegade 4,1113,140,Privat,P-Hus,"Silkegade 4, Illum"
2300 København S,7844,5,Under Elmene 5 p_hus.18,p_hus.18,POINT (12.598048055798772 55.6651551945516),12.59804806,55.66515519,Under Elmene 5,2300,268,Kommune,Underjordisk P-anlæg,"Underjordisk P-anlæg, ibrugtaget april 2011 og drevet af Center for Parkering."