vejnavn,vejnummer,vejkode,kommunekode,FID,omraade,navn,address,postnummer,bby,hjemmesideadresse,bydelnavn,wkb_geometry,long,lat
Vester Voldgade,98,8252,101,skoler.1,Indre By-Østerbro,Den Classenske Legatskole,Vester Voldgade 98,1552,København V,http://www.dcl.kk.dk,Indre By,POINT (12.57572806609185 55.67291623323177),12.57572807,55.67291623
Sølvgade,16,7280,101,skoler.2,Indre By-Østerbro,Sølvgades Skole,Sølvgade 16,1307,København K,http://www.soel.kk.dk,Indre By,POINT (12.58323934936467 55.68649040450764),12.58323935,55.6864904
Øster Voldgade,15,8612,101,skoler.3,Indre By-Østerbro,Nyboder Skole,Øster Voldgade 15,1350,København K,http://www.nyboderskole.kk.dk,Indre By,POINT (12.586239078060993 55.69056593267992),12.58623908,55.69056593
Øster Farimagsgade,40,8588,101,skoler.4,Indre By-Østerbro,Øster Farimagsgades Skole,Øster Farimagsgade 40,2100,København Ø,http://www.oef.kk.dk,Indre By,POINT (12.577928570337939 55.69264299706235),12.57792857,55.692643
Prinsessegade,45,5612,101,skoler.5,Indre By-Østerbro,Christianshavns Skole,Prinsessegade 45,1422,København K,http://www.chr.kk.dk,Christianshavn,POINT (12.596655758536535 55.67400357485248),12.59665576,55.67400357
Sjællandsgade,10,6408,101,skoler.6,Nørrebro-Bispebjerg,Guldberg Skole,Sjællandsgade 10,2200,København N,http://www.guldbergskole.kk.dk,Indre Nørrebro,POINT (12.552887736335636 55.6933439923538),12.55288774,55.69334399
Randersgade,38,5716,101,skoler.7,Indre By-Østerbro,Randersgades Skole,Randersgade 38,2100,København Ø,http://www.rg.kk.dk,Indre Østerbro,POINT (12.580786270881413 55.705777537411855),12.58078627,55.70577754
Kertemindegade,10,3636,101,skoler.8,Indre By-Østerbro,Vibenshus Skole,Kertemindegade 10,2100,København Ø,http://www.vi.kk.dk,Indre Østerbro,POINT (12.57881277809619 55.708748469543885),12.57881278,55.70874847
Holsteinsgade,41,3008,101,skoler.9,Indre By-Østerbro,Langelinieskolen,Holsteinsgade 41,2100,København Ø,http://www.langelinieskolen.kk.dk,Indre Østerbro,POINT (12.586732649851452 55.699597272907745),12.58673265,55.69959727
Strandboulevarden,47,6988,101,skoler.10,Indre By-Østerbro,Skolen på Strandboulevarden,Strandboulevarden 47,2100,København Ø,http://www.langelinieskolen.kk.dk,Indre Østerbro,POINT (12.58791441033097 55.70241311671099),12.58791441,55.70241312
Randersgade,10,5716,101,skoler.11,Indre By-Østerbro,Heibergskolen,Randersgade 10,2100,København Ø,http://www.heibergskolen.kk.dk,Indre Østerbro,POINT (12.581867400017709 55.70297649870227),12.5818674,55.7029765
Sortedam Dossering,97,6740,101,skoler.12,Indre By-Østerbro,Sortedamskolen,Sortedam Dossering 97,2100,København Ø,http://www.sortedamskolen.kk.dk,Indre Østerbro,POINT (12.577199405706715 55.69772664475836),12.57719941,55.69772664
Sionsgade,1,6396,101,skoler.13,Indre By-Østerbro,Strandvejsskolen,Sionsgade 1,2100,København Ø,http://www.strandvejsskolen.kk.dk,Ydre Østerbro,POINT (12.579199804052832 55.71123689330636),12.5791998,55.71123689
Bellmansgade,5A,452,101,skoler.14,Indre By-Østerbro,Kildevældsskolen,Bellmansgade 5A,2100,København Ø,http://www.kildevaeld.kk.dk,Ydre Østerbro,POINT (12.569403919009595 55.7150650601058),12.56940392,55.71506506
Hans Tavsens Gade,4,2604,101,skoler.15,Nørrebro-Bispebjerg,Blågård Skole,Hans Tavsens Gade 4,2200,København N,http://www.blg.kk.dk,Indre Nørrebro,POINT (12.55020557575779 55.68781983481974),12.55020558,55.68781983
Jagtvej,34,3332,101,skoler.16,Nørrebro-Bispebjerg,Nørrebro Park Skole,Jagtvej 34,2200,København N,http://www.nps.kk.dk,Indre Nørrebro,POINT (12.544698354588865 55.69028100964501),12.54469835,55.69028101
Biskop Krags Vænge,7,524,101,skoler.17,Nørrebro-Bispebjerg,Nørre Fælled Skole,Biskop Krags Vænge 7,2100,København Ø,http://www.klo.kk.dk,Ydre Østerbro,POINT (12.558151136290052 55.70535719794168),12.55815114,55.7053572
Rådmandsgade,22,6160,101,skoler.18,Nørrebro-Bispebjerg,Rådmandsgades Skole,Rådmandsgade 22,2200,København N,http://www.raadmandsgadesskole.kk.dk,Ydre Nørrebro,POINT (12.549582349408842 55.699023540116016),12.54958235,55.69902354
Frederiksborgvej,216,1940,101,skoler.19,Nørrebro-Bispebjerg,Holbergskolen,Frederiksborgvej 216,2400,København NV,http://www.holbergskolen.kk.dk,Bispebjerg,POINT (12.528758157397105 55.72445021909424),12.52875816,55.72445022
Lersø Parkallé,152,4236,101,skoler.20,Nørrebro-Bispebjerg,Lundehusskolen,Lersø Parkallé 152,2100,København Ø,http://www.lundehus.kk.dk,Bispebjerg,POINT (12.544354948601676 55.7184708082253),12.54435495,55.71847081
Rørsangervej,29,6144,101,skoler.21,Nørrebro-Bispebjerg,Grøndalsvængets Skole,Rørsangervej 29,2400,København NV,http://www.gvs.kk.dk,Bispebjerg,POINT (12.527227137128191 55.69883222532794),12.52722714,55.69883223
Magistervej,4,4580,101,skoler.22,Nørrebro-Bispebjerg,Tagensbo Skole,Magistervej 4,2400,København NV,http://www.tgb.kk.dk,Bispebjerg,POINT (12.533501453243554 55.70977427457112),12.53350145,55.70977427
Skolesiden,2,6494,101,skoler.23,Vanløse-Brønshøj,Tingbjerg Heldagsskole,Skolesiden 2,2700,Brønshøj,http://www.tingbjergskole.kk.dk,Brønshøj-Husum,POINT (12.484451247716947 55.719080742585156),12.48445125,55.71908074
Karlslundevej,23,3576,101,skoler.24,Vanløse-Brønshøj,Husum Skole,Karlslundevej 23,2700,Brønshøj,http://www.husumskole.kk.dk,Brønshøj-Husum,POINT (12.47375489102646 55.7060857531658),12.47375489,55.70608575
Tersløsevej,35,7372,101,skoler.25,Vanløse-Brønshøj,Korsager Skole,Tersløsevej 35,2700,Brønshøj,http://www.korsagerskole.kk.dk,Brønshøj-Husum,POINT (12.46931737198587 55.709556129406714),12.46931737,55.70955613
Hanstholmvej,10,2608,101,skoler.26,Vanløse-Brønshøj,Hyltebjerg Skole,Hanstholmvej 10,2720,Vanløse,http://www.hyltebjergskole.kk.dk,Vanløse,POINT (12.481497562423892 55.68483525592946),12.48149756,55.68483526
Ålekistevej,121,8672,101,skoler.27,Vanløse-Brønshøj,Vanløse Skole,Ålekistevej 121,2720,Vanløse,http://www.van.kk.dk,Vanløse,POINT (12.48161100479874 55.686468481086365),12.481611,55.68646848
Vanløsehøj,4,7992,101,skoler.28,Vanløse-Brønshøj,Kirkebjerg Skole,Vanløsehøj 4,2720,Vanløse,http://www.kirkebjergskole.kk.dk,Vanløse,POINT (12.482884265976159 55.69630494981881),12.48288427,55.69630495
Vanløse Allé,44,7984,101,skoler.29,Vanløse-Brønshøj,Katrinedals Skole,Vanløse Allé 44,2720,Vanløse,http://www.katrinedalsskole.kk.dk,Vanløse,POINT (12.49875343768592 55.69021562794596),12.49875344,55.69021563
Enghave Plads,21,1588,101,skoler.30,Valby-Vesterbro-Kgs. Enghave,Tove Ditlevsens Skole,Enghave Plads 21,1670,København V,http://www.tds.kk.dk,Vesterbro,POINT (12.545136389105995 55.666296502303254),12.54513639,55.6662965
Oehlenschlægersgade,57,5240,101,skoler.31,Valby-Vesterbro-Kgs. Enghave,Oehlenschlægersgades Skole,Oehlenschlægersgade 57,1663,København V,http://www.oeh.kk.dk,Vesterbro,POINT (12.550312876208034 55.66759437478102),12.55031288,55.66759437
Slesvigsgade,6,6584,101,skoler.32,Valby-Vesterbro-Kgs. Enghave,Vesterbro Ny Skole,Slesvigsgade 6,1762,København V,http://www.vesterbronyskole.kk.dk,Vesterbro,POINT (12.540564661654296 55.665349611673676),12.54056466,55.66534961
Gasværksvej,22,2136,101,skoler.33,Valby-Vesterbro-Kgs. Enghave,Gasværksvejens skole,Gasværksvej 22,1656,København V,http://www.gas.kk.dk,Vesterbro,POINT (12.557113179755818 55.66995091644022),12.55711318,55.66995092
Ved Ovnhallen,6,8087,101,skoler.34,Valby-Vesterbro-Kgs. Enghave,Valby Skole,Ved Ovnhallen 6,2500,Valby,http://www.valbyskole.kk.dk,Valby,POINT (12.509082491545513 55.66498692259872),12.50908249,55.66498692
Vibeholmen,1,8276,101,skoler.35,Valby-Vesterbro-Kgs. Enghave,Ålholm Skole,Vibeholmen 1,2500,Valby,http://www.aalholmskole.kk.dk,Valby,POINT (12.495045345537584 55.67008146145351),12.49504535,55.67008146
Rødbyvej,2,6080,101,skoler.36,Valby-Vesterbro-Kgs. Enghave,Hanssted Skole,Rødbyvej 2,2500,Valby,http://www.hanssted.kk.dk,Valby,POINT (12.486308095936792 55.66665268536671),12.4863081,55.66665269
Vigerslevvej,141,8320,101,skoler.37,Valby-Vesterbro-Kgs. Enghave,Lykkebo Skole,Vigerslevvej 141,2500,Valby,http://www.lykkeboskole.kk.dk,Valby,POINT (12.484054824443641 55.66009900054643),12.48405482,55.660099
Kirsebærhaven,23,3696,101,skoler.38,Valby-Vesterbro-Kgs. Enghave,Kirsebærhavens Skole,Kirsebærhaven 23,2500,Valby,http://www.kir.kk.dk,Valby,POINT (12.503298657939522 55.64922827374878),12.50329866,55.64922827
Vigerslev Allé,108,8308,101,skoler.39,Valby-Vesterbro-Kgs. Enghave,Vigerslev Allés Skole,Vigerslev Allé 108,2500,Valby,http://www.vas.kk.dk,Valby,POINT (12.508081345897656 55.661445918650436),12.50808135,55.66144592
Natalie Zahles Vej,9,4944,101,skoler.40,Valby-Vesterbro-Kgs. Enghave,Bavnehøj Skole,Natalie Zahles Vej 9,2450,København SV,http://www.bav.kk.dk,Kongens Enghave,POINT (12.53582298300153 55.65758277553453),12.53582298,55.65758278
P. Knudsens Gade,37,3816,101,skoler.41,Valby-Vesterbro-Kgs. Enghave,Ellebjerg Skole,P. Knudsens Gade 37,2450,København SV,http://www.ellebjergskole.kk.dk,Kongens Enghave,POINT (12.531609557856186 55.65106838475593),12.53160956,55.65106838
Støberigade,1,7084,101,skoler.42,Valby-Vesterbro-Kgs. Enghave,Skolen i Sydhavnen,Støberigade 1,2450,København SV,http://www.sis.kk.dk,Kongens Enghave,POINT (12.552974480161279 55.65116130439912),12.55297448,55.6511613
Lybækgade,20,4456,101,skoler.43,Amager,Sønderbro Skole,Lybækgade 20,2300,København S,http://www.soenderbroskole.kk.dk,Sundbyøster,POINT (12.608826501610839 55.6631074074805),12.6088265,55.66310741
Ungarnsgade,13,7848,101,skoler.44,Amager,Lergravsparkens Skole,Ungarnsgade 13,2300,København S,http://www.lps.kk.dk,Sundbyøster,POINT (12.61327267934207 55.66491869878407),12.61327268,55.6649187
Artillerivej,57,232,101,skoler.45,Amager,Skolen på Islands Brygge,Artillerivej 57,2300,København S,http://www.sib.kk.dk,Vestamager,POINT (12.582956053738659 55.66287714876669),12.58295605,55.66287715
Arne Jacobsens Allé,21,218,101,skoler.46,Amager,Ørestad Skole,Arne Jacobsens Allé 21,2300,København S,http://www.oerestadskole.kk.dk,Vestamager,POINT (12.58135884216979 55.631308483834374),12.58135884,55.63130848
Richard Mortensens Vej,2,5833,101,skoler.47,Amager,Skolen i Ørestad Syd,Richard Mortensens Vej 2,2300,København S,http://www.oerestadskole.kk.dk,Vestamager,POINT (12.582111305138591 55.630845888293074),12.58211131,55.63084589
Brydes Allé,25,892,101,skoler.48,Amager,Peder Lykke Skolen,Brydes Allé 25,2300,København S,http://www.pederlykkeskolen.kk.dk,Vestamager,POINT (12.596597072268366 55.65534713203182),12.59659707,55.65534713
Remisevej,16,5798,101,skoler.49,Amager,Dyvekeskolen,Remisevej 16,2300,København S,http://www.dyveke.kk.dk,Sundbyvester,POINT (12.595416549312882 55.648547925504836),12.59541655,55.64854793
Grønløkkevej,1,2344,101,skoler.50,Amager,Højdevangens Skole,Grønløkkevej 1,2300,København S,http://www.hvs.kk.dk,Sundbyvester,POINT (12.603821677005596 55.64674547173843),12.60382168,55.64674547
Sundholmsvej,2A,7120,101,skoler.51,Amager,Amager Fælled Skole,Sundholmsvej 2A,2300,København S,http://www.afs.kk.dk,Vestamager,POINT (12.594973976726314 55.66244438373089),12.59497398,55.66244438
Gerbrandsvej,9,2176,101,skoler.52,Amager,Gerbrandskolen,Gerbrandsvej 9,2300,København S,http://www.gerbrandskolen.kk.dk,Sundbyvester,POINT (12.616684039832224 55.64724780183633),12.61668404,55.6472478
Smyrnavej,5,6640,101,skoler.53,Amager,Sundbyøster Skole,Smyrnavej 5,2300,København S,http://www.sundbyoesterskole.kk.dk,Sundbyøster,POINT (12.613842774558059 55.65144093866378),12.61384277,55.65144094
Samosvej,50,6196,101,skoler.54,Amager,Skolen ved Sundet,Samosvej 50,2300,København S,http://www.svs.kk.dk,Sundbyøster,POINT (12.628018273910794 55.653225205794456),12.62801827,55.65322521
Svenskelejren,18,7180,101,skoler.55,Vanløse-Brønshøj,Bellahøj Skole,Svenskelejren 18,2700,Brønshøj,http://www.bellahoej.kk.dk,Brønshøj-Husum,POINT (12.508443851734203 55.704379217854196),12.50844385,55.70437922
Klintholmvej,5,3748,101,skoler.56,Vanløse-Brønshøj,Brønshøj Skole,Klintholmvej 5,2700,Brønshøj,http://www.brh.kk.dk,Brønshøj-Husum,POINT (12.494778419894562 55.70416687176932),12.49477842,55.70416687
Godthåbsvej,274,2264,101,skoler.57,Vanløse-Brønshøj,Rødkilde Skole,Godthåbsvej 274,2720,Vanløse,http://www.roed.kk.dk,Brønshøj-Husum,POINT (12.50700219375565 55.69700242632416),12.50700219,55.69700243
Skoleholdervej,20,6492,101,skoler.58,Nørrebro-Bispebjerg,Utterslev Skole,Skoleholdervej 20,2400,København NV,http://www.utterslevskole.kk.dk,Bispebjerg,POINT (12.520301435634547 55.71139460987708),12.52030144,55.71139461