institution_enhed,title,vejnavn,husnr,opsyn,drift_ansvarlig,FID,adresse,postnr,toilet_type,handicapadgang,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,opening_hours,aabningstid_bemrk,placering,longitude,latitude
Kløvermarkens Idrætsanlæg,Kløvermarksvej toilet.84,Kløvermarksvej,50,Nej,,toilet.84,Kløvermarksvej 50,2300,H+D+handicap,Ja,7.00 - 22.00,7.00 - 22.00,7.00 - 22.00,7.00 - 22.00,7.00 - 22.00,7.00 - 19.00,7.00 - 19.00,Monday: 7.00 - 22.00 Tuesday: 7.00 - 22.00 Wednesday: 7.00 - 22.00 Thursday: 7.00 - 22.00 Friday: 7.00 - 22.00 Saturday: 7.00 - 19.00 Sunday: 7.00 - 19.00,Lukket vinterhalvåret,Kommunal institution,12.608327,55.672271
"DRIFT, INDRE",Korsgade toilet.85,Korsgade,58,Nej,Egen drift,toilet.85,Korsgade 58,2200,Støbejernspissoir,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.553934,55.686647
"DRIFT, INDRE",Langelinie toilet.86,Langelinie,,Nej,Udliciteret,toilet.86,Langelinie v. Hvidtfeldtmonumentet,,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.599197,55.690616
"DRIFT, INDRE",Langelinie toilet.87,Langelinie,1,Nej,Udliciteret,toilet.87,Langelinie v østlige ende af bro,,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.59472,55.694577
"DRIFT, INDRE",Langeliniekaj toilet.88,Langeliniekaj,63,Nej,Udliciteret,toilet.88,Langeliniekaj 63  (yderst på langeliniekajen),,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Gade,12.600802,55.703656
"DRIFT, NORD",Lyngbyvej toilet.89,Lyngbyvej,90,Nej,Egen drift,toilet.89,"Hans Knudsens Plads , Lyngbyvej 90",,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.560245,55.712948
Vesterbro Bibliotek,Lyrskovgade toilet.90,Lyrskovgade,4,Nej,,toilet.90,Lyrskovgade 4,,H+D+handicap,Ja,8:00 - 18:00,8:00 - 18:00,8:00 - 18:00,8:00 - 18:00,8:00 - 17:00,9:00 - 15:00,,Monday: 8:00 - 18:00 Tuesday: 8:00 - 18:00 Wednesday: 8:00 - 18:00 Thursday: 8:00 - 18:00 Friday: 8:00 - 17:00 Saturday: 9:00 - 15:00 Sunday: ,,Kommunal institution,12.543715,55.667827
Borgerservice Bispebjerg,Lærkevej toilet.91,Lærkevej,18,Nej,,toilet.91,Lærkevej 18,2400,H+D+handicap,Ja,10.00-17.00,10.00-17.00,10.00-17.00,9.00-18.00,10.00-15.00,,,Monday: 10.00-17.00 Tuesday: 10.00-17.00 Wednesday: 10.00-17.00 Thursday: 9.00-18.00 Friday: 10.00-15.00 Saturday:  Sunday: ,,Kommunal institution,12.529399,55.701134
Vanløse Hallerne,Lønstrupvej toilet.92,Lønstrupvej,5,Nej,,toilet.92,Lønstrupvej 5,2720,H+D,Nej,15.00-23.00,15.00-23.00,15.00-23.00,15.00-23.00,15.00-23.00,08.00-19.00,08.00-19.00,Monday: 15.00-23.00 Tuesday: 15.00-23.00 Wednesday: 15.00-23.00 Thursday: 15.00-23.00 Friday: 15.00-23.00 Saturday: 08.00-19.00 Sunday: 08.00-19.00,"Lukket jul, påske, skolernes sommerferie",Kommunal institution,12.481191,55.685821
Modtagelsen,Matthæusgade toilet.93,Matthæusgade,1,Nej,,toilet.93,Matthæusgade 1,1666,H+D+handicap,Ja,kl 9-15,kl 9-15,kl 9-15,kl. 13-18,kl. 9-13,ikke åbent,ikke åbent,Monday: kl 9-15 Tuesday: kl 9-15 Wednesday: kl 9-15 Thursday: kl. 13-18 Friday: kl. 9-13 Saturday: ikke åbent Sunday: ikke åbent,Lukket mellem jul og nytår,Kommunal institution,12.552382,55.669797
Modtagelsen,Matthæusgade toilet.94,Matthæusgade,1,Nej,,toilet.94,Matthæusgade 1,1666,H+D,Nej,kl 9-15,kl 9-15,kl 9-15,kl. 13-18,kl. 9-13,ikke åbent,ikke åbent,Monday: kl 9-15 Tuesday: kl 9-15 Wednesday: kl 9-15 Thursday: kl. 13-18 Friday: kl. 9-13 Saturday: ikke åbent Sunday: ikke åbent,Lukket mellem jul og nytår,Kommunal institution,12.552382,55.669797
"DRIFT, NORD",Melchiors Plads toilet.95,Melchiors Plads,8,Nej,Egen drift,toilet.95,Melchiors Plads  ud for nr. 8,,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.585572,55.70355
Sundhedshus Nørrebro/Bispebjerg,Mimersgade toilet.96,Mimersgade,41,Nej,,toilet.96,Mimersgade 41,,H+D+handicap,Ja,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,,,Monday: 9.00 - 16.00 Tuesday: 9.00 - 16.00 Wednesday: 9.00 - 16.00 Thursday: 9.00 - 16.00 Friday: 9.00 - 16.00 Saturday:  Sunday: ,,Kommunal institution,12.548227,55.699036
"DRIFT, NORD",Moseskellet toilet.97,Moseskellet,47,Nej,Egen drift,toilet.97,Moseskellet 47,,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.52282,55.722022
"DRIFT, NORD",Mosesvinget toilet.98,Mosesvinget,11,Nej,Egen drift,toilet.98,Mosesvinget 1,,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.50484,55.712979
"DRIFT, SYD",Mozarts Plads toilet.99,Mozarts Plads,1A,Nej,Egen drift,toilet.99,"Mozarts Plads, Mozarts Plads 1A",,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.534678,55.64871
"DRIFT, NORD",Pilesvinget toilet.100,Pilesvinget,80,Nej,Egen drift,toilet.100,Pilesvinget 80,,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.486389,55.708811
"DRIFT, INDRE",Sønder Boulevard toilet.101,Sønder Boulevard,60,Nej,Egen drift,toilet.101,"Sønder Boulevard, Sønder Boulevard of. nr 60",,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.551496,55.666095
Center for Kompetence og Beskæftigelse (CKB),Teglværksgade toilet.102,Teglværksgade,31,Nej,,toilet.102,Teglværksgade 31,2100,H+D+handicap,Ja,9.00-15.00,9.00-15.00,9.00-15.00,9.00-15.00,9.00-14.00,,,Monday: 9.00-15.00 Tuesday: 9.00-15.00 Wednesday: 9.00-15.00 Thursday: 9.00-15.00 Friday: 9.00-14.00 Saturday:  Sunday: ,Lukket weekender og helligdage,Kommunal institution,12.558749,55.707593
Borgercenter Handicap,Thoravej toilet.103,Thoravej,29,Nej,,toilet.103,Thoravej 29,2400,H+D+handicap,Ja,,,,13-17,,lukket,lukket,Monday:  Tuesday:  Wednesday:  Thursday: 13-17 Friday:  Saturday: lukket Sunday: lukket,,Kommunal institution,12.526846,55.706084
Solvang Bibliotek,Remisevej toilet.104,Remisevej,14,Nej,,toilet.104,Remisevej 14,,H+D+handicap,Ja,13 - 18,13 - 18,13 - 18,13 - 18,13 - 17,10 til 14,,Monday: 13 - 18 Tuesday: 13 - 18 Wednesday: 13 - 18 Thursday: 13 - 18 Friday: 13 - 17 Saturday: 10 til 14 Sunday: ,,Kommunal institution,12.595484,55.648722
Tingbjerg Idrætspark,Ruten toilet.105,Ruten,2,Nej,,toilet.105,Ruten 2,2700,H+D+handicap,Ja,07.00-20.00,07.00-20.00,07.00-20.00,07.00-20.00,07.00-20.00,,,Monday: 07.00-20.00 Tuesday: 07.00-20.00 Wednesday: 07.00-20.00 Thursday: 07.00-20.00 Friday: 07.00-20.00 Saturday:  Sunday: ,Lukket ml. jul og nytår samt påske.,Kommunal institution,12.492326,55.718818
Københavns Stadsarkiv,Rådhuspladsen toilet.106,Rådhuspladsen,1,Nej,,toilet.106,Rådhuspladsen 1,1599,H+D,?,"09,00-15,00","09,00-15,00","09,00-15,00",10.00-17.00,lukket,lukket,lukket,"Monday: 09,00-15,00 Tuesday: 09,00-15,00 Wednesday: 09,00-15,00 Thursday: 10.00-17.00 Friday: lukket Saturday: lukket Sunday: lukket","lukket juli, helligdage, 23/12-1/1",Kommunal institution,12.569578,55.675627
Huset-KBH,Rådhusstræde toilet.107,Rådhusstræde,13,Nej,,toilet.107,"Rådhusstræde 13, stue-etagen",1466,H+D+handicap,Ja,12.00 - 23.00,12.00 - 23.00,12.00 - 23.00,12.00 - 23.00,12.00 - 23.00,12.00 - 23.00,12.00 - 23.00,Monday: 12.00 - 23.00 Tuesday: 12.00 - 23.00 Wednesday: 12.00 - 23.00 Thursday: 12.00 - 23.00 Friday: 12.00 - 23.00 Saturday: 12.00 - 23.00 Sunday: 12.00 - 23.00,Toiletter er åbne når Bastard-caféen er åben.,Kommunal institution,12.574728,55.676411
Hillerødgade Bad og Hal,Sandbjerggade toilet.108,Sandbjerggade,35,Nej,,toilet.108,Sandbjerggade 35,2200,H+D,Nej,,,,,,,,Monday:  Tuesday:  Wednesday:  Thursday:  Friday:  Saturday:  Sunday: ,"Skiftende åbningstider, se dem på: http://teambade.kk.dk/indhold/%C3%A5bningstider-lukkedage-og-driftinfo",Kommunal institution,12.539571,55.69671
"DRIFT, INDRE",Serridslevvej toilet.109,Serridslevvej,35,Nej,Udliciteret,toilet.109,"Serridsslevsvej 35, Seridsslevvej nord ",,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.571253,55.706806
Ungecenteret (JKU),Skelbækgade toilet.110,Skelbækgade,4,Nej,,toilet.110,Skelbækgade 2-4,1717,H+D+handicap,Ja,9.00-15.00,9.00-15.00,9.00-15.00,9.00-15.00,9.00-14.00,,,Monday: 9.00-15.00 Tuesday: 9.00-15.00 Wednesday: 9.00-15.00 Thursday: 9.00-15.00 Friday: 9.00-14.00 Saturday:  Sunday: ,Lukket weekender og helligdage,Kommunal institution,12.556041,55.667598
"DRIFT, NORD",Stefansgade toilet.111,Stefansgade,24,Nej,Udliciteret,toilet.111,"Stefansgade 24, Nørrebroparken",2200,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.54288,55.694863
"DRIFT, INDRE",Stockholmsgade toilet.112,Stockholmsgade,,Nej,Egen drift,toilet.112,"Sølvtorvet, Stockholmsgade/Sølvgade",,Støbejernspissoir,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.575475,55.689418
Sydhavnens bibliotek,Wagnersvej toilet.136,Wagnersvej,19,Nej,,toilet.136,Wagnersvej 19,,H+D+handicap,Ja,8:00 - 18:00,8:00 - 18:00,8:00 - 18:00,8:00 - 18:00,8:00 - 17:00,8:00 - 14:00,,Monday: 8:00 - 18:00 Tuesday: 8:00 - 18:00 Wednesday: 8:00 - 18:00 Thursday: 8:00 - 18:00 Friday: 8:00 - 17:00 Saturday: 8:00 - 14:00 Sunday: ,,Kommunal institution,12.529664,55.646928
"DRIFT, INDRE",Stockholmsgade toilet.113,Stockholmsgade,62,Nej,Udliciteret,toilet.113,"Østre Anlæg, Stockholmsgade v. Oslo Plads",,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.584244,55.692469
"DRIFT, SYD",Sundbyvester Plads toilet.114,Sundbyvester Plads,2A,Nej,Egen drift,toilet.114,Sundbyvester Plads 2A,2300,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.613326,55.646622
Sundby Bad,Sundbyvestervej toilet.115,Sundbyvestervej,50,Nej,,toilet.115,Sundbyvestervej 50,2300,H+D,Nej,,,,,,,,Monday:  Tuesday:  Wednesday:  Thursday:  Friday:  Saturday:  Sunday: ,"Skiftende åbningstider, se dem på: http://teambade.kk.dk/indhold/%C3%A5bningstider-lukkedage-og-driftinfo",Kommunal institution,12.601909,55.64645
Arbejdsmarkedscenteret (AMC),Sundholmsvej toilet.116,Sundholmsvej,22,Nej,,toilet.116,Sundholmsvej 22,2300,H+D+handicap,Ja,9.00-15.00,9.00-15.00,9.00-15.00,9.00-15.00,9.00-14.00,,,Monday: 9.00-15.00 Tuesday: 9.00-15.00 Wednesday: 9.00-15.00 Thursday: 9.00-15.00 Friday: 9.00-14.00 Saturday:  Sunday: ,Lukket weekender og helligdage,Kommunal institution,12.596167,55.660866
VE BBHV,Svanevej toilet.117,Svanevej,12,Nej,,toilet.117,Svanevej 12,2400,H+D+handicap,Ja,10.00 - 15.00,10.00 - 15.00,10.00 - 15.00,13.00 - 18.00,10.00 - 13.00,,,Monday: 10.00 - 15.00 Tuesday: 10.00 - 15.00 Wednesday: 10.00 - 15.00 Thursday: 13.00 - 18.00 Friday: 10.00 - 13.00 Saturday:  Sunday: ,,Kommunal institution,12.534926,55.700104
"DRIFT, SYD",Parmagade toilet.118,Parmagade,45,Nej,Udliciteret,toilet.118,"Parmagade 45, Filipsparken",2300,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.618588,55.653986
Sundbyøsterhal 2,Parmagade toilet.119,Parmagade,4,Nej,,toilet.119,Parmagade 4,2300,H+D+handicap,Ja,7.00 - 23.00,7.00 - 23.00,7.00 - 23.00,7.00 - 23.00,7.00 - 22.00,7.00  - 21.00,7.00 - 21.00,Monday: 7.00 - 23.00 Tuesday: 7.00 - 23.00 Wednesday: 7.00 - 23.00 Thursday: 7.00 - 23.00 Friday: 7.00 - 22.00 Saturday: 7.00  - 21.00 Sunday: 7.00 - 21.00,"lukket juli, jul & nytår og helligdage",Kommunal institution,12.612768,55.652423
Sundbyøsterhallen,Parmagade toilet.120,Parmagade,8,Nej,,toilet.120,Parmagade 8,2300,H+D+handicap,Ja,7.00 - 23.00,7.00 - 23.00,7.00 - 23.00,7.00 - 23.00,7.00 - 22.00,7.00  - 21.00,7.00 - 21.00,Monday: 7.00 - 23.00 Tuesday: 7.00 - 23.00 Wednesday: 7.00 - 23.00 Thursday: 7.00 - 23.00 Friday: 7.00 - 22.00 Saturday: 7.00  - 21.00 Sunday: 7.00 - 21.00,"lukket juli, jul & nytår og helligdage",Kommunal institution,12.613258,55.652172
"DRIFT, SYD",Peder Lykkes Vej toilet.121,Peder Lykkes Vej,73,Nej,Udliciteret,toilet.121,"Remiseparken, Byggeren",2300,H+D,?,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.597272,55.652669
"DRIFT, SYD",Peder Lykkes Vej toilet.122,Peder Lykkes Vej,71,Nej,Udliciteret,toilet.122,"Remiseparken, Bondegården",2300,H+D,?,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.598081,55.652713
"DRIFT, SYD",Toftegårds Plads toilet.123,Toftegårds Plads,2,Nej,Egen drift,toilet.123,Toftegårds Plads ud for nr. 2,,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.517536,55.66184
"DRIFT, SYD",Toftegårds Plads toilet.124,Toftegårds Plads,6,Nej,Egen drift,toilet.124,Toftegårds Plads ud for nr. 6,,Støbejernspissoir,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.517405,55.662306
